VehicleType,Make,BodyType,Model,StartingPrice(INR Lakhs),NoofSeats,MaxTorque(Nm),MaxPower(BHP),Range(km/charge),BatteryCapacity(kwh),ChargingTime(Mins),GroundClearance(mm),BootSpace(Liters),FastCharging
Car,Tata,SUV,Tata Punch EV,10.99,5,190Nm,120.69 - 80.46bhp,315 - 421 km/charge,25 - 35kwh,50Mins,190 mm,366 Liters,
Car,Tata,SUV,Tata Nexon EV,14.74,5,215Nm,127.39 - 142.68bhp,325 - 465 km,30 - 40.5 kwh,6H -AC-7.2 kW (10-100%),190 mm,350 Liters,Yes
Car,Kia,SUV,Kia EV6,60.95,5,605Nm,225.86 - 320.55bhp,708 km,77.4 kwh,18 Min (0-80%),,,Yes
Car,Tata,Hatchback,Tata Tiago EV,8.69,5,114Nm,60.34 - 73.75bhp,250 - 315 km/charge,19.2 - 24 kwh,58 min| DC-25 kW(10-80%),,240 Liters,Yes
Car,Mahindra,SUV,Mahindra XUV400 EV,15.49,5,310Nm,147.51 - 149.55bhp,375 - 456 kms,34.5 - 39.4 kwh,6H 30 Min-AC-7.2 kW (0-100%),,,Yes
Car,MG Motor,Hatchback,MG Comet EV,7.98,4,110Nm,41.42bhp,230 km,17.3 kwh,7 H,,,
Car,BMW,Sedan,BMW i7,213,5,1015Nm,536.4 - 650.39bhp,560 - 625 km,101.7 - 101.7kwh,5.5 H,,500 Liters,Yes
Car,Tata,Sedan,Tata Tigor EV,12.49,5,170Nm,73.75bhp,315 km/charge,26 kwh,8.5 H,172 mm,,Yes
Car,BMW,SUV,BMW iX,121,5,630Nm,321.84bhp,425km,71 kw,7H 15min-(0-100%),,500 Liters,Yes
Car,Hyundai,SUV,Hyundai Kona Electric,23.84,5,395Nm,134.10bhp,452 km,39.2 kwh,7H,,,Yes
Car,Lotus,SUV,Lotus Eletre,255,5,710Nm,603bhp,500 - 600 km/charge,112 - 112 kwh,6H,194 mm,,Yes
Car,Rolls Royce,Luxury,Rolls Royce Spectre,750,4,900Nm,576.63bhp,530km,102 kwh,5.5H,,,
Car,MG Motor,SUV,MG ZS EV,22.88,5,280Nm,174.33bhp,461km,50.3 - 50.3 kwh,8.5 To 9 Hours,,448 Liters,Yes
Car,BMW,Sedan,BMW i4,72.5,5,430Nm,335.25bhp,483 - 590 km/charge,70.2 - 83.9 kwh,31 Min-DC-200kW (0-80%),,470 Liters,
Car,Citroen,Hatchback,Citroen eC3,11.61,5,143Nm,56.21bhp,320 km/charge,29.2,10.5H,,315 Liters,
Car,Mercedes Benz,Sedan,Mercedes-Benz EQS,162,5,855Nm,750.97bhp,857 km,107.8 kwh,6.25H,,,
